分公司名稱,電話,城市,鄉鎮市區,詳細地址,緯度,經度
50嵐-左大店,07-5837788,高雄市,左營區,左營大路49號,22.681308,120.287657
50嵐-東港安泰店,08-8330966,屏東縣,東港鎮,中正路一段192號,22.474093,120.4587172
50嵐-福德店,07-7275759,高雄市,苓雅區,福德三路200號,22.6266467,120.3268715
50嵐-後勁店,07-3657282,高雄市,楠梓區,後昌路93號,22.7192365,120.3111188
50嵐-自由曾子店,07-3451214,高雄市,左營區,自由三路391號,22.6754077,120.3122779
50嵐-武廟店,07-7152699,高雄市,苓雅區,武廟路138-1號,22.631188,120.3277268
50嵐-建國中山店,07-2358555,高雄市,三民區,建國二路273號,22.6375589,120.3038068
50嵐-華夏新光店,07-3478282,高雄市,左營區,華夏路939號,22.6809726,120.3047632
50嵐-大昌大豐店,07-3966466,高雄市,三民區,大昌二路165號,22.6447495,120.3319808
50嵐-高應大店,07-3985958,高雄市,三民區,大昌二路555號,22.6519064,120.3296386
50嵐-屏東勝利店,08-7335116,屏東縣,屏東市,勝利路205號,22.6788795,120.4792149
50嵐-獅甲復興店,07-3303881,高雄市,前鎮區,復興三路129號,22.6079,120.307878
50嵐-鳳屏店,07-7013011,高雄市,大寮區,鳳屏一路393號,22.6376124,120.3946579
50嵐-東港中山店,08-8350345,屏東縣,東港鎮,中山路11-1號,22.465626,120.4521109
50嵐-哈瑪星臨海店,07-5512998,高雄市,鼓山區,臨海二路41號,22.6229021,120.2721966
50嵐-德賢店,07-6345050,高雄市,楠梓區,德賢路236-1號,22.7265546,120.3057308
50嵐-天祥店,07-3595160,高雄市,三民區,天祥一路134號,22.667788,120.3194869
50嵐-林園文化店,07-6422022,高雄市,林園區,文化街131號,22.5043147,120.3935659
50嵐-重愛店,07-3592772,高雄市,左營區,重愛路59號,22.683093,120.318531
50嵐-屏東林森店,08-7339358,屏東縣,屏東市,林森路109號,22.6732155,120.4908532
50嵐-仁武店,07-3739077,高雄市,仁武區,中正路154號,22.7022637,120.3507085
50嵐-科工館店,07-3925137,高雄市,三民區,九如一路782號,22.6399908,120.3206374
50嵐-自強中正店,07-2511770,高雄市,前金區,自強二路180號,22.627995,120.294439
50嵐-覺民店,07-3821959,高雄市,三民區,覺民路185號,22.639311,120.340273
50嵐-屏東廣東陸興店,08-7223536,屏東縣,屏東市,廣東路110號,22.6730047,120.4996376
50嵐-武慶店,07-7275050,高雄市,前鎮區,武慶二路39號,22.6111828,120.3327249
50嵐-光華夜市店,07-3341530,高雄市,前鎮區,光華二路309號,22.615085,120.318013
50嵐-嫩江店,07-3123008,高雄市,三民區,嫩江街72號,22.6428855,120.2984507
50嵐-五甲自強店,07-8310273,高雄市,鳳山區,五甲二路675號,22.5939245,120.3293784
50嵐-鳳山青年店,07-7997229,高雄市,鳳山區,青年路一段313號,22.6258322,120.3490883
50嵐-內惟店,07-5850666,高雄市,鼓山區,九如四路1434號,22.6588762,120.2793087
50嵐-大社二店,07-3544488,高雄市,大社區,中山路240號,22.7318363,120.3485203
50嵐-鳳山八德店,07-7778889,高雄市,鳳山區,八德路280號,22.63881,120.355729
50嵐-民權民生店,07-2222029,高雄市,新興區,民生一路156號,22.62804,120.309747
50嵐-榮總店,07-3103300,高雄市,左營區,榮總路31號,22.678752,120.3217291
50嵐-瑞豐店,07-5559335,高雄市,鼓山區,裕誠路1182號,22.6659991,120.2974633
50嵐-漢民店,07-8071595,高雄市,小港區,漢民路669號,22.567326,120.360738
50嵐-光遠黃埔店,07-7905070,高雄市,鳳山區,光遠路63號,22.6236591,120.3664887
50嵐-大順富國店,07-5507635,高雄市,左營區,大順一路276號,22.657166,120.306872
50嵐-旗津店,07-5713759,高雄市,旗津區,廟前路112號,22.6138426,120.2691722
50嵐-自強青年店,07-2693888,高雄市,苓雅區,自強三路169號,22.6178393,120.2980992
50嵐-鼎山明誠店,07-3908780,高雄市,三民區,鼎山街233號,22.6599011,120.3220103
50嵐-鳳山經武店,07-7902260,高雄市,鳳山區,經武路158號,22.6357598,120.3641338
50嵐-小港中安店,07-7915637,高雄市,小港區,中安路636號,22.5848998,120.359922
50嵐-新庄巨蛋店,07-3488470,高雄市,左營區,新庄仔路235-3號,22.669823,120.306161
50嵐-左大聖公店,07-5888833,高雄市,左營區,左營大路281號,22.6864993,120.291361
50嵐-十全店,07-3116136,高雄市,三民區,十全一路391號,22.6452534,120.3053151
50嵐-瑞隆二店,07-7214977,高雄市,前鎮區,瑞隆路315號,22.605413,120.33254
50嵐-五甲南華店,07-7269028,高雄市,鳳山區,南華路151號,22.6031031,120.3377374
50嵐-鳥松中正店,07-7355063,高雄市,鳥松區,中正路345號,22.6623538,120.3634561
50嵐-六合復興店,07-2364008,高雄市,新興區,六合一路57-5號,22.6324834,120.3079487
50嵐-捷運鳳山店,07-7903669,高雄市,鳳山區,光遠路335號,22.6260102,120.3562278
50嵐-三多文橫店,07-5365985,高雄市,苓雅區,文橫二路11號,22.6152002,120.3065366
50嵐-小港平和店,07-8225766,高雄市,小港區,平和路11號,22.5634324,120.3346189
50嵐-仁雄店,07-3718282,高雄市,仁武區,仁雄路13-9號,22.6809757,120.3540856
50嵐-三多中華店,07-2691588,高雄市,苓雅區,三多四路75號,22.612742,120.301357
50嵐-旗山延平店,07-6628789,高雄市,旗山區,延平一路546號,22.8884717,120.4830783
50嵐-林森八德店,07-2351336,高雄市,新興區,林森一路266號,22.6359868,120.3052146
50嵐-三多光華店,07-7264285,高雄市,苓雅區,三多二路345號,22.61834,120.318261
50嵐-林園東林店,07-6421555,高雄市,林園區,東林西路189號,22.5034181,120.3919831
50嵐-德民店,07-3010391,高雄市,楠梓區,德民路915號,22.7208961,120.2896112
50嵐-大明店,07-7637566,高雄市,鳳山區,大明路232號,22.6119218,120.3415843
50嵐-梓官中崙店,07-6191718,高雄市,梓官區,中崙路245號,22.7610792,120.2692183
50嵐-大寮國小店,07-7887297,高雄市,大寮區,大寮路773號,22.5913066,120.4162302
50嵐-五甲夜市店,07-7684269,高雄市,鳳山區,自強二路155號,22.5967652,120.3271532
50嵐-燕巢中民店,07-6143636,高雄市,燕巢區,中民路732號,22.7930536,120.3584109
50嵐-仁美店,07-7311896,高雄市,鳥松區,學堂路26號,22.6584136,120.3922526
50嵐-鳳山光復店,07-7997227,高雄市,鳳山區,光復路一段68號,22.629292,120.352236
50嵐-久堂店,07-6523095,高雄市,大樹區,久堂路湖底二巷29號,22.6582084,120.4156917
50嵐-美濃泰安店,07-6821199,高雄市,美濃區,泰安路56號1樓,22.9018159,120.5392265
50嵐-美術東八店,07-5505186,高雄市,鼓山區,美術東八街125號,22.6540911,120.2911566
50嵐-大灣國中店,07-3737599,高雄市,仁武區,八德南路492號,22.6772232,120.3408158
50嵐-枋寮中山店,08-8786700,屏東縣,枋寮鄉,中山路205號,22.3633802,120.5979663
50嵐-鳳楠店,07-3553700,高雄市,楠梓區,鳳楠路265號,22.7261373,120.3291657
50嵐-鳳山中崙店,07-7556679,高雄市,鳳山區,中崙二路560號,22.6024091,120.3529182
50嵐-五福鹽埕店,07-5516001,高雄市,鹽埕區,五福四路134號,22.6229835,120.2851429
50嵐-中正神農店,07-7355863,高雄市,鳥松區,中正路54號,22.6586964,120.3643615
50嵐-夢時代鎮興店,07-8410838,高雄市,前鎮區鎮,興路232號,22.5931473,120.3115538
50嵐-楠梓樂群店,07-3616658,高雄市,楠梓區,樂群路152號,22.7182741,120.2972818
50嵐-屏大民生店,08-7237778,屏東縣,屏東市,民生路39號,22.6623088,120.5070849
50嵐-獅湖國小店,07-3595500,高雄市,三民區,鼎中路753-2號,22.6741891,120.3216746
50嵐-鳳山埤頂店,07-7012250,高雄市,鳳山區,中山東路547號,22.6289809,120.3814053
50嵐-八卦寮店,07-3737399,高雄市,仁武區,八德南路65號,22.6848777,120.3394969
50嵐-恆春恆南店,08-8899336,屏東縣,恆春鎮,恆南路161號,21.9983059,120.7444319
50嵐-藍昌店,07-5915060,高雄市,楠梓區,藍昌路398-12號,22.7268251,120.2917852
50嵐-正言店,07-7528299,高雄市,苓雅區,正言路44號,22.6303024,120.3298379
50嵐-阿蓮忠孝店,07-6317188,高雄市,阿蓮區,忠孝路132號,22.8791012,120.3312538
50嵐-惠民店,07-3630666,高雄市,楠梓區,惠民路88-2號,22.724322,120.2974903
50嵐-屏東棒球路店,08-7538188,屏東縣,屏東市,棒球路228號,22.6559155,120.4814105
50嵐-屏東萬丹店,08-7770829,屏東縣,萬丹鄉,萬丹路一段252號,22.5883582,120.490003
50嵐-樹科大鳳旗店,07-6151015,高雄市,燕巢區,鳳旗路163號,22.7541459,120.3556295
50嵐-五甲國泰店,07-7409502,高雄市,鳳山區,五甲一路222號,22.6184461,120.3550338
50嵐-內埔天后店,08-7786558,屏東縣,內埔鄉,內埔村廣濟路154號,22.6150819,120.5663644
50嵐-屏東潮州延平店,08-7899601,屏東縣,潮州鎮,延平路138號,22.554892,120.540558
50嵐-鹽埔新圍店,08-7938228,屏東縣,鹽埔鄉,維新路171號,22.7425915,120.5576565
50嵐-義華店,07-3820319,高雄市,三民區,義華路276號,22.6436093,120.3359091
50嵐-屏科大中林店,08-7705955,屏東縣,內埔鄉,中林村15鄰中林路11-2號,22.641301,120.5954835
50嵐-大樹中興店,07-6520820,高雄市,大樹區,中興西路99號,22.6917906,120.4287781
50嵐-社皮大昌店,08-7075050,屏東縣,萬丹鄉,大昌路410號,22.6154043,120.4714437
50嵐-大武營建國店,08-7538006,屏東縣,屏東市,建國路149-1號,22.6652804,120.478292
50嵐-潮州新生店,08-7890550,屏東縣,潮州鎮,新生路67號,22.549087,120.538229
50嵐-屏東九如店,08-7390010,屏東縣,九如鄉,九如路二段239號,22.7357635,120.4891927
50嵐-新園仙吉店,08-8685050,屏東縣,新園鄉,仙吉村4鄰仙吉路63號,22.5424148,120.4603454
50嵐-恆春中正店,08-8882980,屏東縣,恆春鎮,中正路76號,22.0031717,120.7447327
50嵐-小琉球店,08-8612985,屏東縣,琉球鄉,民生路17-2號,22.3519236,120.3801897
50嵐-高樹興中店,08-7965008,屏東縣,高樹鄉,興中路287號,22.825391,120.6003022
50嵐-屏東中正自由店,08-7367022,屏東縣,屏東市,中正路348號,22.6823368,120.4921259
50嵐-旗山轉運店,07-6629555,高雄市,旗山區,延平一路750號,22.8822921,120.4840625
50嵐-內埔龍泉店,08-7700838,屏東縣,內埔鄉,龍潭村昭勝路404號,22.6773346,120.601189
50嵐-88過勇店,07-7928612,高雄市,鳳山區,過勇路206號,22.5896981,120.3628753
50嵐-林邊國小店,08-8755520,屏東縣,林邊鄉,中山路159號,22.4326132,120.5174615
50嵐-鳳商車站店,07-7993377,高雄市,鳳山區,文衡路27號,22.632842,120.357778
50嵐-麟洛中山成功店,08-7215850,屏東縣,麟洛鄉,中山路238號,22.6521658,120.5252215
50嵐-中山中正店,07-2857757,高雄市,新興區,中山橫路6號,22.6320277,120.3014835
50嵐-屏東崇蘭廣東店,08-7325600,屏東縣,屏東市,廣東路1112號,22.6875998,120.4827624
50嵐-里港仁和店,08-7750686,屏東縣,里港鄉,仁和路15號,22.7770508,120.4939277
50嵐-光明新厝店,07-7888055,高雄市,大寮區,光明路一段15號,22.5614843,120.4123611
50嵐-萬巒褒忠店,08-7812889,屏東縣,萬巒鄉,褒忠路102號,22.5732446,120.5694512
50嵐-鳳山建國店,07-7101616,高雄市,鳳山區,建國路3段255號,22.6372037,120.3516622
50嵐-大社國中店,07-3544450,高雄市,大社區,中山路521-25號,22.7309411,120.3567692
50嵐-旗楠安泰店,07-3528268,高雄市,楠梓區,旗楠路907-12號,22.7427587,120.3392918
50嵐-高雄長庚店,07-7356150,高雄市,鳥松區,大埤路123-10號,22.6504342,120.3567999
50嵐-惠心店,07-3649955,高雄市,楠梓區,惠心街82號,22.7295446,120.3225035
50嵐-林森店,07-5360365,高雄市,苓雅區,林森二路11-5號,22.6166442,120.30783
50嵐-蚵仔寮店,07-6101610,高雄市,梓官區,漁港一路122號,22.7274421,120.2555732
50嵐-山東店,07-3125080,高雄市,三民區,山東街124號,22.6436953,120.311641
50嵐-大寮輔英店,07-7835070,高雄市,大寮區,鳳林三路400號,22.6034648,120.3964195
50嵐-草衙店,07-8138448,高雄市,前鎮區,草衙二路445號,22.5797596,120.3226262
50嵐-裕誠明誠店,07-3228632,高雄市,鼓山區,裕誠路1646號,22.6615114,120.2941494
50嵐-正義店,07-3800700,高雄市,苓雅區,正義路92號,22.6301134,120.3387137
50嵐-二聖英明店,07-7226805,高雄市,前鎮區,竹東里二聖一路63號,22.6118454,120.3252955
50嵐-橋頭店,07-6130099,高雄市,橋頭區,橋南路100號,22.7547784,120.3121711
50嵐-彌陀中正店,07-6105573,高雄市,彌陀區,彌靖里中正路159號,22.7825822,120.2487664
50嵐-自強建國店,07-2163666,高雄市,三民區,自強一路209號,22.635002,120.291357
50嵐-建工店,07-3807097,高雄市,三民區,建工路616號,22.6493268,120.3228236
50嵐-橋頭隆豐店,07-6130077,高雄市,橋頭區,隆豐路155號,22.7546607,120.3067404
50嵐-恆春西門店,08-8882424,屏東縣,恆春鎮,西門路37號,22.0064013,120.7429789
50嵐-店北漢民店,07-8030589,高雄市,小港區,店北路220號,22.5639532,120.3509935
